"area_code","area","iso3c","region","EU27","continent"
1,"Armenia","ARM","Former USSR",FALSE,"ASI"
2,"Afghanistan","AFG","South Asia",FALSE,"ASI"
3,"Albania","ALB","Eastern Europe",FALSE,"EUR"
4,"Algeria","DZA","Northern Africa",FALSE,"AFR"
7,"Angola","AGO","Southern Africa",FALSE,"AFR"
8,"Antigua and Barbuda","ATG","Central America",FALSE,"LAM"
9,"Argentina","ARG","South America",FALSE,"LAM"
10,"Australia","AUS","Oceania",FALSE,"OCE"
11,"Austria","AUT","OECD Europe",TRUE,"EU"
12,"Bahamas","BHS","Central America",FALSE,"LAM"
13,"Bahrain","BHR","Middle East",FALSE,"ASI"
14,"Barbados","BRB","Central America",FALSE,"LAM"
15,"Belgium-Luxembourg","BLX","OECD Europe",TRUE,"EU"
16,"Bangladesh","BGD","South Asia",FALSE,"ASI"
19,"Bolivia (Plurinational State of)","BOL","South America",FALSE,"LAM"
20,"Botswana","BWA","Southern Africa",FALSE,"AFR"
21,"Brazil","BRA","South America",FALSE,"LAM"
23,"Belize","BLZ","Central America",FALSE,"LAM"
25,"Solomon Islands","SLB","Oceania",FALSE,"OCE"
26,"Brunei Darussalam","BRN","South East Asia",FALSE,"ASI"
27,"Bulgaria","BGR","Eastern Europe",TRUE,"EU"
28,"Myanmar","MMR","South East Asia",FALSE,"ASI"
29,"Burundi","BDI","Eastern Africa",FALSE,"AFR"
32,"Cameroon","CMR","Western Africa",FALSE,"AFR"
33,"Canada","CAN","Canada",FALSE,"NAM"
35,"Cabo Verde","CPV","Western Africa",FALSE,"AFR"
37,"Central African Republic","CAF","Western Africa",FALSE,"AFR"
38,"Sri Lanka","LKA","South Asia",FALSE,"ASI"
39,"Chad","TCD","Western Africa",FALSE,"AFR"
40,"Chile","CHL","South America",FALSE,"LAM"
41,"China, mainland","CHN","East Asia",FALSE,"ASI"
44,"Colombia","COL","South America",FALSE,"LAM"
46,"Congo","COG","Western Africa",FALSE,"AFR"
48,"Costa Rica","CRI","Central America",FALSE,"LAM"
49,"Cuba","CUB","Central America",FALSE,"LAM"
50,"Cyprus","CYP","Middle East",TRUE,"EU"
51,"Czechoslovakia","CSK","OECD Europe",FALSE,"EU"
52,"Azerbaijan","AZE","Former USSR",FALSE,"ASI"
53,"Benin","BEN","Western Africa",FALSE,"AFR"
54,"Denmark","DNK","OECD Europe",TRUE,"EU"
55,"Dominica","DMA","Central America",FALSE,"LAM"
56,"Dominican Republic","DOM","Central America",FALSE,"LAM"
57,"Belarus","BLR","Former USSR",FALSE,"EUR"
58,"Ecuador","ECU","South America",FALSE,"LAM"
59,"Egypt","EGY","Northern Africa",FALSE,"AFR"
60,"El Salvador","SLV","Central America",FALSE,"LAM"
63,"Estonia","EST","Former USSR",TRUE,"EU"
66,"Fiji","FJI","Oceania",FALSE,"OCE"
67,"Finland","FIN","OECD Europe",TRUE,"EU"
68,"France","FRA","OECD Europe",TRUE,"EU"
70,"French Polynesia","PYF","Oceania",FALSE,"OCE"
72,"Djibouti","DJI","Eastern Africa",FALSE,"AFR"
73,"Georgia","GEO","Former USSR",FALSE,"ASI"
74,"Gabon","GAB","Western Africa",FALSE,"AFR"
75,"Gambia","GMB","Western Africa",FALSE,"AFR"
79,"Germany","DEU","OECD Europe",TRUE,"EU"
80,"Bosnia and Herzegovina","BIH","Eastern Europe",FALSE,"EUR"
81,"Ghana","GHA","Western Africa",FALSE,"AFR"
83,"Kiribati","KIR","Oceania",FALSE,"OCE"
84,"Greece","GRC","OECD Europe",TRUE,"EU"
86,"Grenada","GRD","Central America",FALSE,"LAM"
89,"Guatemala","GTM","Central America",FALSE,"LAM"
90,"Guinea","GIN","Western Africa",FALSE,"AFR"
91,"Guyana","GUY","South America",FALSE,"LAM"
93,"Haiti","HTI","Central America",FALSE,"LAM"
95,"Honduras","HND","Central America",FALSE,"LAM"
96,"China, Hong Kong SAR","HKG","East Asia",FALSE,"ASI"
97,"Hungary","HUN","Eastern Europe",TRUE,"EU"
98,"Croatia","HRV","Eastern Europe",TRUE,"EU"
99,"Iceland","ISL","OECD Europe",FALSE,"EUR"
100,"India","IND","South Asia",FALSE,"ASI"
101,"Indonesia","IDN","South East Asia",FALSE,"ASI"
102,"Iran (Islamic Republic of)","IRN","Middle East",FALSE,"ASI"
103,"Iraq","IRQ","Middle East",FALSE,"ASI"
104,"Ireland","IRL","OECD Europe",TRUE,"EU"
105,"Israel","ISR","Middle East",FALSE,"ASI"
106,"Italy","ITA","OECD Europe",TRUE,"EU"
107,"C̫te d'Ivoire","CIV","Western Africa",FALSE,"AFR"
108,"Kazakhstan","KAZ","Former USSR",FALSE,"ASI"
109,"Jamaica","JAM","Central America",FALSE,"LAM"
110,"Japan","JPN","Japan",FALSE,"ASI"
112,"Jordan","JOR","Middle East",FALSE,"ASI"
113,"Kyrgyzstan","KGZ","Former USSR",FALSE,"ASI"
114,"Kenya","KEN","Eastern Africa",FALSE,"AFR"
115,"Cambodia","KHM","South East Asia",FALSE,"ASI"
116,"Democratic People's Republic of Korea","PRK","East Asia",FALSE,"ASI"
117,"Republic of Korea","KOR","East Asia",FALSE,"ASI"
118,"Kuwait","KWT","Middle East",FALSE,"ASI"
119,"Latvia","LVA","Former USSR",TRUE,"EU"
120,"Lao People's Democratic Republic","LAO","South East Asia",FALSE,"ASI"
121,"Lebanon","LBN","Middle East",FALSE,"ASI"
122,"Lesotho","LSO","Southern Africa",FALSE,"AFR"
123,"Liberia","LBR","Western Africa",FALSE,"AFR"
124,"Libya","LBY","Northern Africa",FALSE,"AFR"
126,"Lithuania","LTU","Former USSR",TRUE,"EU"
128,"China, Macao SAR","MAC","East Asia",FALSE,"ASI"
129,"Madagascar","MDG","Eastern Africa",FALSE,"AFR"
130,"Malawi","MWI","Southern Africa",FALSE,"AFR"
131,"Malaysia","MYS","South East Asia",FALSE,"ASI"
132,"Maldives","MDV","South Asia",FALSE,"ASI"
133,"Mali","MLI","Western Africa",FALSE,"AFR"
134,"Malta","MLT","OECD Europe",TRUE,"EU"
136,"Mauritania","MRT","Western Africa",FALSE,"AFR"
137,"Mauritius","MUS","Eastern Africa",FALSE,"AFR"
138,"Mexico","MEX","Central America",FALSE,"LAM"
141,"Mongolia","MNG","East Asia",FALSE,"ASI"
143,"Morocco","MAR","Northern Africa",FALSE,"AFR"
144,"Mozambique","MOZ","Southern Africa",FALSE,"AFR"
146,"Republic of Moldova","MDA","Former USSR",FALSE,"EUR"
147,"Namibia","NAM","Southern Africa",FALSE,"AFR"
149,"Nepal","NPL","South Asia",FALSE,"ASI"
150,"Netherlands","NLD","OECD Europe",TRUE,"EU"
151,"Netherlands Antilles","ANT","Central America",FALSE,"LAM"
153,"New Caledonia","NCL","Oceania",FALSE,"OCE"
154,"North Macedonia","MKD","Eastern Europe",FALSE,"EUR"
155,"Vanuatu","VUT","Oceania",FALSE,"OCE"
156,"New Zealand","NZL","Oceania",FALSE,"OCE"
157,"Nicaragua","NIC","Central America",FALSE,"LAM"
158,"Niger","NER","Western Africa",FALSE,"AFR"
159,"Nigeria","NGA","Western Africa",FALSE,"AFR"
162,"Norway","NOR","OECD Europe",FALSE,"EUR"
165,"Pakistan","PAK","South Asia",FALSE,"ASI"
166,"Panama","PAN","Central America",FALSE,"LAM"
167,"Czech Republic","CZE","Eastern Europe",TRUE,"EU"
168,"Papua New Guinea","PNG","Oceania",FALSE,"OCE"
169,"Paraguay","PRY","South America",FALSE,"LAM"
170,"Peru","PER","South America",FALSE,"LAM"
171,"Philippines","PHL","South East Asia",FALSE,"ASI"
173,"Poland","POL","Eastern Europe",TRUE,"EU"
174,"Portugal","PRT","OECD Europe",TRUE,"EU"
175,"Guinea-Bissau","GNB","Western Africa",FALSE,"AFR"
176,"Timor-Leste","TLS","South East Asia",FALSE,"ASI"
177,"Puerto Rico","PRI","Central America",FALSE,"LAM"
178,"Eritrea","ERI","Eastern Africa",FALSE,"AFR"
179,"Qatar","QAT","Middle East",FALSE,"ASI"
181,"Zimbabwe","ZWE","Southern Africa",FALSE,"AFR"
183,"Romania","ROU","Eastern Europe",TRUE,"EU"
184,"Rwanda","RWA","Eastern Africa",FALSE,"AFR"
185,"Russian Federation","RUS","Former USSR",FALSE,"ASI"
186,"Serbia and Montenegro","SCG","OECD Europe",FALSE,"EUR"
188,"Saint Kitts and Nevis","KNA","Central America",FALSE,"LAM"
189,"Saint Lucia","LCA","Central America",FALSE,"LAM"
191,"Saint Vincent and the Grenadines","VCT","Central America",FALSE,"LAM"
193,"Sao Tome and Principe","STP","Western Africa",FALSE,"AFR"
194,"Saudi Arabia","SAU","Middle East",FALSE,"ASI"
195,"Senegal","SEN","Western Africa",FALSE,"AFR"
197,"Sierra Leone","SLE","Western Africa",FALSE,"AFR"
198,"Slovenia","SVN","Eastern Europe",TRUE,"EU"
199,"Slovakia","SVK","Eastern Europe",TRUE,"EU"
200,"Singapore","SGP","South East Asia",FALSE,"ASI"
201,"Somalia","SOM","Eastern Africa",FALSE,"AFR"
202,"South Africa","ZAF","Southern Africa",FALSE,"AFR"
203,"Spain","ESP","OECD Europe",TRUE,"EU"
207,"Suriname","SUR","South America",FALSE,"LAM"
208,"Tajikistan","TJK","Former USSR",FALSE,"ASI"
209,"Eswatini","SWZ","Southern Africa",FALSE,"AFR"
210,"Sweden","SWE","OECD Europe",TRUE,"EU"
211,"Switzerland","CHE","OECD Europe",FALSE,"EUR"
212,"Syrian Arab Republic","SYR","Middle East",FALSE,"ASI"
213,"Turkmenistan","TKM","Former USSR",FALSE,"ASI"
214,"China, Taiwan Province of","TWN","East Asia",FALSE,"ASI"
215,"United Republic of Tanzania","TZA","Southern Africa",FALSE,"AFR"
216,"Thailand","THA","South East Asia",FALSE,"ASI"
217,"Togo","TGO","Western Africa",FALSE,"AFR"
220,"Trinidad and Tobago","TTO","Central America",FALSE,"LAM"
221,"Oman","OMN","Middle East",FALSE,"ASI"
222,"Tunisia","TUN","Northern Africa",FALSE,"AFR"
223,"Turkey","TUR","Middle East",FALSE,"EUR"
225,"United Arab Emirates","ARE","Middle East",FALSE,"ASI"
226,"Uganda","UGA","Eastern Africa",FALSE,"AFR"
228,"USSR","SUN","Former USSR",FALSE,"ASI"
229,"United Kingdom","GBR","OECD Europe",FALSE,"EU"
230,"Ukraine","UKR","Former USSR",FALSE,"EUR"
231,"United States of America","USA","USA",FALSE,"NAM"
233,"Burkina Faso","BFA","Western Africa",FALSE,"AFR"
234,"Uruguay","URY","South America",FALSE,"LAM"
235,"Uzbekistan","UZB","Former USSR",FALSE,"ASI"
236,"Venezuela (Bolivarian Republic of)","VEN","South America",FALSE,"LAM"
237,"Viet Nam","VNM","South East Asia",FALSE,"ASI"
238,"Ethiopia","ETH","Eastern Africa",FALSE,"AFR"
244,"Samoa","WSM","Oceania",FALSE,"OCE"
248,"Yugoslav SFR","YUG","Eastern Europe",FALSE,"EUR"
249,"Yemen","YEM","Middle East",FALSE,"ASI"
250,"Democratic Republic of the Congo","COD","Western Africa",FALSE,"AFR"
251,"Zambia","ZMB","Southern Africa",FALSE,"AFR"
255,"Belgium","BEL","OECD Europe",TRUE,"EU"
256,"Luxembourg","LUX","OECD Europe",TRUE,"EU"
272,"Serbia","SRB","OECD Europe",FALSE,"EUR"
273,"Montenegro","MNE","OECD Europe",FALSE,"EUR"
276,"Sudan","SDN","Eastern Africa",FALSE,"AFR"
277,"South Sudan","SSD","Eastern Africa",FALSE,"AFR"
999,"RoW","ROW","RoW",FALSE,"ROW"